"cst","csts","des","al","kt","nik"
"01A81 ",X0213 ,SC                            ,                                                            ,MAUMERE        ,""
"01A81 ",U0139 ,SC(SURYA CAMBAYA)             ,                                                            ,MAKASSAR       ,""
"01A81 ",M1322 ,SEJAHTERA                     ,DUPAK GROSIR BLOK AG NO. 10-11                              ,SURABAYA       ,""
"01A81 ",M0299 ,SEJATI                        ,DUPAK GROSIR Lt.I BLOK D NO.29                              ,SURABAYA       ,""
"01A81 ",R0127 ,SEJATI                        ,                                                            ,GORONTALO      ,""
"01A81 ",M1064 ,SELATAN JAYA                  ,JL. SONGOYUDAN 33                                           ,SURABAYA       ,""
"01A81 ",M0171 ,SEMANGAT                      ,                                                            ,MOJOKERTO      ,""
"01A81 ",V0102 ,SENA JAYA                     ,SERIRIT                                                     ,SINGARAJA      ,""
"01A81 ",X0225 ,SENTOSA                       ,JL. LECES 2                                                 ,RUTENG         ,""
"01A81 ",X0269 ,SENTOSA                       ,                                                            ,REO            ,""
"01A81 ",M0933 ,SENTRO                        ,RAYA JEMURSARI 76 BLOK B 8-10                               ,SURABAYA       ,""
"01A81 ",P0092 ,SERAYA                        ,                                                            ,BANJARMASIN    ,""
"01A81 ",M1093 ,SERBA ADA                     ,PASAR CITRA NIAGA STAND F-1                                 ,JOMBANG        ,""
"01A81 ",P0023 ,SETIA BAKTI (AT)              ,JL. SUDI MAMPIR 102                                         ,BANJARMASIN    ,""
"01A81 ",Q0209 ,SETUJU (OKS)                  ,JL. NAHKODA 101                                             ,SAMARINDA      ,""
"01A81 ",Q0090 ,SGG (SETUJU)                  ,JL. NAHKODA 101                                             ,SAMARINDA      ,""
"01A81 ",P0045 ,SGJA                          ,                                                            ,BANJARMASIN    ,""
"01A81 ",Q0282 ,SH                            ,                                                            ,SAMARINDA      ,""
"01A81 ",Z0059 ,SH                            ,                                                            ,MERAUKE        ,""
"01A81 ",Y0118 ,SHL (SAHLAN)                  ,                                                            ,NAMLEA         ,""
"01A81 ",P0098 ,SIDIK                         ,                                                            ,PAGATAN        ,""
"01A81 ",M0004 ,SIDO MAKMUR                   ,STAND PS.BARU BLOK C No.1-8                                 ,KRIAN          ,""
"01A81 ",M0652 ,SIDOARJO                      ,JL. AHMAD YANI 134                                          ,NGANJUK        ,""
"01A81 ",P0106 ,SIGID                         ,                                                            ,PAGATAN        ,""
"01A81 ",V0014 ,SIMPANG                       ,                                                            ,SINGARAJA      ,""
"01A81 ",M0340 ,SINAR                         ,                                                            ,MOJOSARI       ,""
"01A81 ",W0147 ,SINAR AGUNG                   ,                                                            ,CAKRA          ,""
"01A81 ",X0183 ,SINAR BERLIAN                 ,JL. KATEDRAL 15                                             ,RUTENG         ,""
"01A81 ",X0182 ,SINAR BERLIANT                ,                                                            ,REO            ,""
"01A81 ",M0892 ,SINAR ELECTRIC                ,JL. RUNGKUT TENGAH 17                                       ,SURABAYA       ,""
"01A81 ",V0003 ,SINAR HARAPAN                 ,JL. DIPONEGORO 24-26                                        ,SINGARAJA      ,""
"01A81 ",M0006 ,SINAR JAYA                    ,JL. A.YANI 71                                               ,SUKOWONO       ,""
"01A81 ",V0124 ,SINAR JAYA                    ,JL. GN CATUR IIA/IA                                         ,DENPASAR       ,""
"01A81 ",M0012 ,SINAR JAYA I                  ,PASAR TANJUNG BAWAH 190-194                                 ,JEMBER         ,""
"01A81 ",M0587 ,SINAR JAYA II                 ,PASAR TANJUNG BAWAH 222                                     ,JEMBER         ,""
"01A81 ",W0037 ,SINAR KARTIKA                 ,                                                            ,CAKRA          ,""
"01A81 ",Q0197 ,SINAR MAS                     ,JL. DEWI SARTIKA 43 RT 29                                   ,SAMARINDA      ,""
"01A81 ",W0086 ,SINGKAWANG MAPAN              ,                                                            ,CAKRA          ,""
"01A81 ",Q0051 ,SK II (SRI KENCANA)           ,JL. VETERAN 55                                              ,SAMARINDA      ,""
"01A81 ",Q0030 ,SKB                           ,JL. PANDAN SARI RT.20 NO.125                                ,BALIKPAPAN     ,""
"01A81 ",W0043 ,SKB                           ,                                                            ,BIMA           ,""
"01A81 ",Z0112 ,SLH                           ,                                                            ,JAYAPURA       ,""
"01A81 ",M1853 ,SOLEH                         ,                                                            ,SURABAYA       ,""
"01A81 ",M0082 ,SOLO                          ,JL. DHOHO 70                                                ,KEDIRI         ,""
"01A81 ",V0013 ,SOLO                          ,                                                            ,TABANAN        ,""
"01A81 ",V0012 ,SOLO II/MH                    ,KOMPLEK PASAR SARI HARAPAN                                  ,TABANAN        ,""
"01A81 ",P0089 ,SP                            ,                                                            ,BANJARMASIN    ,""
"01A81 ",X0245 ,SPESIAL                       ,JL. IKAN PAUS 15-15A                                        ,TIMUR KUPANG   ,""
"01A81 ",P0012 ,SPN                           ,JL. NIAGA TIMUR 63                                          ,BANJARMASIN    ,""
"01A81 ",Q0044 ,SR                            ,JL. KH.ABD.MARISI BLOK E-79                                 ,SAMARINDA      ,""
"01A81 ",M0431 ,SRI RAHAYU                    ,                                                            ,SUMENEP        ,""
"01A81 ",V0047 ,SRI RAHAYU                    ,JL. SULAWESI 68                                             ,DENPASAR       ,""
"01A81 ",X0075 ,SS                            ,                                                            ,BAJAWA         ,""
"01A81 ",Y0160 ,SS JAYA                       ,                                                            ,AMBON          ,""
"01A81 ",M0365 ,STAR                          ,                                                            ,PASURUAN       ,""
"01A81 ",P0068 ,SUBUR JAYA                    ,JL. NIAGA 4                                                 ,BANJARMASIN    ,""
"01A81 ",Y0100 ,SUDIN                         ,                                                            ,AMBON          ,""
"01A81 ",M1596 ,SUFAAH                        ,                                                            ,SURABAYA       ,""
"01A81 ",K0100 ,SUGENG                        ,                                                            ,REMBANG        ,""
"01A81 ",F0006 ,SUKSES                        ,                                                            ,SUMBAWA        ,""
"01A81 ",M1319 ,SUKSES ABADI (ROMEO)          ,JL. KENJERAN NO. 303                                        ,SURABAYA       ,""
"01A81 ",M0313 ,SUMBER AGUNG                  ,JL. PANGLIMA SUDIRMAN 187-189                               ,MADIUN         ,""
"01A81 ",W0047 ,SUMBER AGUNG/SKB              ,JL. SULTAN HASANUDDIN 46                                    ,BIMA           ,""
"01A81 ",Q0022 ,SUMBER BAHAGIA                ,JL. IMAM BONJOL No.02 RT.25                                 ,SAMARINDA      ,""
"01A81 ",M0164 ,SUMBER BARU                   ,JL. NIAGA 66                                                ,MOJOKERTO      ,""
"01A81 ",M0577 ,SUMBER BARU                   ,MANUKAN TAMA IG/48                                          ,SURABAYA       ,""
"01A81 ",Q0237 ,SUMBER BUMI                   ,                                                            ,SAMARINDA      ,""
"01A81 ",M0145 ,SUMBER DANDANG                ,                                                            ,PASAR TURI     ,""
"01A81 ",P0085 ,SUMBER JAYA                   ,JL. SIMPANG SUDI MAMPIR I/25                                ,BANJARMASIN    ,""
"01A81 ",M0123 ,SUMBER JAYA I                 ,                                                            ,MOJOKERTO      ,""
"01A81 ",W0044 ,SUMBER KARYA/IS               ,JL. SULTAN HASANUDIN 43                                     ,BIMA           ,""
"01A81 ",M0081 ,SUMBER MAKMUR                 ,JL. RAYA 129 B                                              ,KENCONG        ,""
"01A81 ",M0156 ,SUMBER MAKMUR                 ,JL. IRIAN JAYA 14 P                                         ,SITUBONDO      ,""
"01A81 ",Y0089 ,SUMBER MAS (UNE)              ,                                                            ,AMBON          ,""
"01A81 ",P0086 ,SUMBER PLASTIK                ,JL. NIAGA TIMUR 33                                          ,BANJARMASIN    ,""
"01A81 ",X0216 ,SUMBER PLASTIK (SP)           ,JL. JAGO NO. 2                                              ,ENDE           ,""
"01A81 ",K0438 ,SUMBER REJEKI                 ,DEPAN PASAR GATEN MAYUNGAN                                  ,KLATEN         ,""
"01A81 ",Q0217 ,SUMBER REJEKI                 ,JL. JENDRAL SUDIRMAN 40                                     ,SAMARINDA      ,""
"01A81 ",M0092 ,SUMBER SARI                   ,JL.RAYA STAND PASAR NO.1                                    ,WONOSARI       ,""
"01A81 ",M1812 ,SUMBER UTAMA                  ,                                                            ,SURABAYA       ,""
"01A81 ",M0105 ,SUMBER WIJAYA                 ,                                                            ,PASAR TURI     ,""
"01A81 ",M0449 ,SUNDA                         ,JL. ACHMAD YANI 40                                          ,CARUBAN        ,""
"01A81 ",Y0101 ,SUNTORO                       ,                                                            ,AMBON          ,""
